zip,area_name,metro
90606,West Whittier-Los Nietos,los-angeles_long-beach_anaheim
90620,Buena Park,los-angeles_long-beach_anaheim
90621,Buena Park,los-angeles_long-beach_anaheim
90623,La Palma,los-angeles_long-beach_anaheim
90630,Cypress,los-angeles_long-beach_anaheim
90631,La Habra,los-angeles_long-beach_anaheim
90638,La Mirada,los-angeles_long-beach_anaheim
90640,Montebello,los-angeles_long-beach_anaheim
90650,Norwalk,los-angeles_long-beach_anaheim
90660,Pico Rivera,los-angeles_long-beach_anaheim
90670,Santa Fe Springs,los-angeles_long-beach_anaheim
90680,Stanton,los-angeles_long-beach_anaheim
90701,Artesia,los-angeles_long-beach_anaheim
90703,Cerritos,los-angeles_long-beach_anaheim
90704,Avalon,los-angeles_long-beach_anaheim
90706,Bellflower,los-angeles_long-beach_anaheim
90710,Los Angeles,los-angeles_long-beach_anaheim
90712,Lakewood,los-angeles_long-beach_anaheim
90713,Lakewood,los-angeles_long-beach_anaheim
90715,Lakewood,los-angeles_long-beach_anaheim
90716,Hawaiian Gardens,los-angeles_long-beach_anaheim
90717,Lomita,los-angeles_long-beach_anaheim
90720,Los Alamitos,los-angeles_long-beach_anaheim
90723,Paramount,los-angeles_long-beach_anaheim
90731,Los Angeles,los-angeles_long-beach_anaheim
90732,Los Angeles,los-angeles_long-beach_anaheim
90740,Seal Beach,los-angeles_long-beach_anaheim
90742,Sunset Beach,los-angeles_long-beach_anaheim
90743,Seal Beach,los-angeles_long-beach_anaheim
90744,Los Angeles,los-angeles_long-beach_anaheim
90745,Carson,los-angeles_long-beach_anaheim
90746,Carson,los-angeles_long-beach_anaheim
90747,C S U Dom Hls,los-angeles_long-beach_anaheim
90755,Signal Hill,los-angeles_long-beach_anaheim
90802,Long Beach,los-angeles_long-beach_anaheim
90803,Long Beach,los-angeles_long-beach_anaheim
90804,Long Beach,los-angeles_long-beach_anaheim
90805,Long Beach,los-angeles_long-beach_anaheim
90806,Long Beach,los-angeles_long-beach_anaheim
90807,Long Beach,los-angeles_long-beach_anaheim
